505 773
397 105 84728
427 474 -67528
122 12 -13818
182 369 -58117
432 258 -27547
493 126 19002
421 289 96280
31 436 84961
49 125 -8318
468 15 -87722
409 46 -44041
175 406 -17530
84 202 -96040
466 139 20568
34 21 38502
449 220 5996
485 126 -78861
478 220 80633
152 272 -14695
134 276 45062
223 25 89944
466 444 -29226
185 241 40079
321 96 -84189
364 442 7625
488 119 71960
357 231 -64168
96 142 -47869
120 35 -38918
109 147 35187
171 196 34035
156 242 76806
190 413 -33236
442 503 -30194
296 250 43292
409 368 92171
245 196 14359
290 173 -23332
82 31 -25140
230 350 -4090
166 413 -67021
309 426 56736
172 74 -33124
178 412 42368
446 452 72269
369 11 -25067
215 156 75861
495 134 -3947
27 425 29876
406 229 -25081
481 231 77917
119 443 -57473
85 150 71559
497 373 99867
398 91 -95129
354 437 50058
236 59 26089
29 219 22217
71 304 -68755
92 100 -61854
4 41 -45091
417 103 225
471 60 72894
252 504 -86176
266 330 25198
297 219 97128
96 453 -56829
308 50 -98833
47 461 64899
10 327 -10925
28 357 5199
400 85 -41678
39 341 -64351
428 241 72962
209 156 78193
131 19 50317
256 136 -3680
182 181 -34852
60 133 44479
151 323 -33275
468 454 34940
153 374 -39503
333 207 5993
450 220 3568
42 372 57010
439 20 -85256
503 307 52806
25 502 82955
442 261 -98639
270 32 27345
215 268 54535
93 359 39107
273 46 59306
210 278 98086
201 294 -47110
116 256 -21381
175 403 34164
380 475 28715
352 207 32429
384 227 -37293
373 56 49954
2 94 -91754
469 218 77937
326 336 -46320
52 407 -81414
470 482 55636
47 213 35609
487 363 -96614
10 398 80476
102 18 92269
125 267 -28273
17 74 -4211
492 405 44161
96 155 -11708
215 229 74172
347 297 -17192
72 68 -58642
357 500 33073
45 380 -49074
403 343 11610
371 346 64411
198 439 -39654
387 115 84779
165 74 16406
72 273 -90690
134 313 -71747
60 471 57361
49 394 22698
464 299 -51675
314 107 -64080
416 321 43225
60 441 67389
198 71 -29007
406 133 -23510
268 108 36117
333 241 74151
343 249 -95236
236 190 20222
262 20 61378
275 46 -23597
249 464 -66567
193 130 -15644
282
